,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,name,mlb_id,babip
47,458015,2020,37,186,223,42,23,8,0,11,43,37,19.3,16.6,0.226,0.446,0.354,0.8,0,0.253,0.478,0.34700000000000003,0.369,0.377,0.225,87.4,15.4,9.1,Joey Votto,458015,0.23484848484848486
48,493329,2020,36,211,230,49,30,12,1,6,27,12,11.7,5.2,0.23199999999999998,0.384,0.27399999999999997,0.6579999999999999,5,0.262,0.40399999999999997,0.281,0.315,0.311,0.142,89.3,13.9,3.7,Yuli Gurriel,493329,0.23497267759562843
49,516416,2020,30,192,217,51,37,5,2,7,45,23,20.7,10.6,0.266,0.42200000000000004,0.34600000000000003,0.767,0,0.25,0.391,0.33299999999999996,0.318,0.33399999999999996,0.141,87.7,11.2,6.1,Jean Segura,516416,0.3142857142857143
50,518735,2020,32,161,194,37,22,7,0,8,58,30,29.9,15.5,0.23,0.42200000000000004,0.35100000000000003,0.773,2,0.207,0.40299999999999997,0.33799999999999997,0.327,0.33399999999999996,0.196,90.3,15.6,7.6,Yasmani Grandal,518735,0.29896907216494845
51,542340,2020,29,185,207,43,36,5,0,2,54,19,26.1,9.2,0.23199999999999998,0.292,0.3,0.591,2,0.21100000000000002,0.281,0.266,0.255,0.282,0.07,86.7,1.6,1.5,Jonathan Villar,542340,0.31297709923664124
52,543877,2020,30,173,189,49,33,9,0,7,43,16,22.8,8.5,0.28300000000000003,0.457,0.344,0.8009999999999999,0,0.221,0.35600000000000004,0.34600000000000003,0.284,0.287,0.134,88.4,14.4,4.6,Christian Vazquez,543877,0.34146341463414637
53,543939,2020,30,181,208,48,41,4,2,1,30,20,14.4,9.6,0.265,0.326,0.34600000000000003,0.672,1,0.24100000000000002,0.311,0.305,0.29100000000000004,0.32799999999999996,0.07,86.5,10.8,0.6,Kolten Wong,543939,0.31125827814569534
54,592206,2020,28,218,242,49,22,11,2,14,69,19,28.5,7.9,0.225,0.486,0.298,0.784,1,0.272,0.539,0.32899999999999996,0.37200000000000005,0.34,0.267,91.0,16.5,16.0,Nick Castellanos,592206,0.25735294117647056
55,592696,2020,29,210,231,54,34,7,0,13,34,19,14.7,8.2,0.257,0.47600000000000003,0.316,0.792,2,0.244,0.435,0.33299999999999996,0.316,0.305,0.191,87.5,18.1,6.2,Eddie Rosario,592696,0.24848484848484848
56,592885,2020,29,200,247,41,21,7,1,12,76,46,30.8,18.6,0.205,0.43,0.35600000000000004,0.7859999999999999,0,0.248,0.46799999999999997,0.34299999999999997,0.375,0.391,0.22,94.0,7.1,12.1,Christian Yelich,592885,0.25892857142857145
57,593934,2020,27,186,205,38,13,12,0,13,90,18,43.9,8.8,0.204,0.478,0.278,0.757,0,0.214,0.478,0.317,0.324,0.287,0.264,95.2,20.2,22.9,Miguel Sano,593934,0.30120481927710846
58,594777,2020,33,190,228,43,18,9,0,16,50,28,21.9,12.3,0.226,0.526,0.33799999999999997,0.8640000000000001,4,0.258,0.506,0.36200000000000004,0.373,0.365,0.249,89.4,17.0,11.8,Kole Calhoun,594777,0.2109375
59,605113,2020,30,199,217,53,37,10,1,5,46,18,21.2,8.3,0.266,0.402,0.327,0.7290000000000001,0,0.244,0.374,0.318,0.302,0.307,0.129,87.7,9.4,5.2,Nick Ahmed,605113,0.32432432432432434
60,605137,2020,28,195,223,44,33,3,0,8,59,22,26.5,9.9,0.226,0.364,0.305,0.669,4,0.228,0.381,0.28600000000000003,0.297,0.308,0.153,91.7,5.9,8.6,Josh Bell,458679,0.2727272727272727
61,606115,2020,26,173,189,45,29,10,1,5,32,14,16.9,7.4,0.26,0.41600000000000004,0.317,0.7340000000000001,1,0.27899999999999997,0.425,0.317,0.336,0.337,0.147,89.0,9.6,5.6,Orlando Arcia,606115,0.291970802919708
62,606192,2020,28,190,207,55,32,7,0,16,63,14,30.4,6.8,0.289,0.579,0.33799999999999997,0.917,1,0.294,0.608,0.384,0.39799999999999996,0.344,0.315,93.3,15.3,18.0,Teoscar Hernandez,606192,0.3482142857142857
