last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Cruz, Nelson,443558,2020,40,185,214,56,34,6,0,16,58,25,27.1,11.7,0.303,0.595,0.397,0.992,0,0.265,0.535,0.411,0.377,0.365,0.27,91.6,9.4,15,
Blackmon, Charlie,453568,2020,34,221,247,67,48,12,1,6,44,19,17.8,7.7,0.303,0.448,0.356,0.804,5,0.274,0.419,0.34,0.328,0.337,0.145,86.9,13.5,4.9,
Solano, Donovan,456781,2020,33,190,203,62,43,15,1,3,39,10,19.2,4.9,0.326,0.463,0.365,0.828,1,0.28,0.418,0.357,0.321,0.321,0.139,88.5,15.5,4.6,
McCutchen, Andrew,457705,2020,34,217,241,55,36,9,0,10,48,22,19.9,9.1,0.253,0.433,0.324,0.757,1,0.273,0.479,0.327,0.355,0.343,0.206,89.7,18.2,8.2,
Marte, Starling,516782,2020,32,228,250,64,43,14,1,6,41,12,16.4,4.8,0.281,0.43,0.34,0.77,1,0.262,0.414,0.333,0.322,0.323,0.153,87.1,6.5,6.4,
Rizzo, Anthony,519203,2020,31,203,243,45,28,6,0,11,38,28,15.6,11.5,0.222,0.414,0.342,0.755,2,0.265,0.411,0.326,0.353,0.381,0.146,87.7,16.7,7.8,
Rendon, Anthony,543685,2020,30,189,232,54,33,11,1,9,31,38,13.4,16.4,0.286,0.497,0.418,0.915,0,0.286,0.467,0.395,0.388,0.418,0.181,90.1,19.5,6.3,
Grichuk, Randal,545341,2020,29,216,231,59,38,9,0,12,49,13,21.2,5.6,0.273,0.481,0.312,0.793,2,0.266,0.463,0.337,0.333,0.309,0.198,88.9,12.6,11.2,
Ruiz, Rio,547004,2020,26,185,204,41,21,11,0,9,46,17,22.5,8.3,0.222,0.427,0.284,0.711,1,0.211,0.354,0.303,0.276,0.276,0.143,87.9,10.5,8.5,
Arenado, Nolan,571448,2020,29,182,201,46,29,9,0,8,20,15,10,7.5,0.253,0.434,0.303,0.738,4,0.234,0.388,0.308,0.286,0.288,0.154,87.8,19.1,5.4,
Seager, Kyle,572122,2020,33,203,248,49,28,12,0,9,33,32,13.3,12.9,0.241,0.433,0.355,0.788,6,0.252,0.472,0.338,0.365,0.371,0.22,89.1,17.7,10.2,
Walker, Christian,572233,2020,29,218,243,59,33,18,1,7,50,19,20.6,7.8,0.271,0.459,0.333,0.792,3,0.264,0.449,0.341,0.339,0.329,0.185,90.4,11.5,6.4,
Canha, Mark,592192,2020,31,191,243,47,28,12,2,5,54,37,22.2,15.2,0.246,0.408,0.387,0.795,5,0.238,0.411,0.351,0.356,0.384,0.173,89.7,19.4,7.7,
Alberto, Hanser,593643,2020,28,219,231,62,44,15,0,3,30,5,13,2.2,0.283,0.393,0.303,0.696,2,0.244,0.316,0.301,0.259,0.269,0.072,82.3,13.2,1,
Franco, Maikel,596748,2020,28,223,243,62,38,16,0,8,38,16,15.6,6.6,0.278,0.457,0.321,0.778,4,0.254,0.394,0.329,0.304,0.302,0.14,86.7,8.4,5.8,
Bradley Jr., Jackie,598265,2020,30,191,217,54,36,11,0,7,48,23,22.1,10.6,0.283,0.45,0.364,0.814,1,0.226,0.371,0.352,0.305,0.315,0.144,88.3,4.4,7.6,
Turner, Trea,607208,2020,27,233,259,78,47,15,4,12,36,22,13.9,8.5,0.335,0.588,0.394,0.982,2,0.299,0.509,0.413,0.379,0.365,0.209,90.5,9.5,9.5,
Ramirez, Jose,608070,2020,28,219,254,64,30,16,1,17,43,31,16.9,12.2,0.292,0.607,0.386,0.993,1,0.263,0.505,0.415,0.372,0.361,0.242,88.7,23.2,10.2,
